Method,Peak,Analysis,Before,After,Variation
E,peak 1,1º,1.43,1.03,0.3999999999999999
E,peak 1,2º,1.44,1.01,0.42999999999999994
E,peak 1,3º,1.37,1.27,0.10000000000000009
E,peak 2,1º,9.71,16.11,-6.399999999999999
E,peak 2,2º,10.57,21.31,-10.739999999999998
E,peak 2,3º,10.41,18.48,-8.07
E,peak 3,1º,1.31,0.7,0.6100000000000001
E,peak 3,2º,1.25,1.45,-0.19999999999999996
E,peak 3,3º,1.21,0.79,0.41999999999999993
E,peak 4,1º,55.58,54.79,0.7899999999999991
E,peak 4,2º,54.96,53.63,1.3299999999999983
E,peak 4,3º,54.88,56.87,-1.9899999999999949
E,peak 5,1º,7.26,5.3,1.96
E,peak 5,2º,7.87,3.81,4.0600000000000005
E,peak 5,3º,7.68,3.8,3.88
E,peak 6,1º,8.06,8.62,-0.5599999999999987
E,peak 6,2º,7.66,6.47,1.1900000000000004
E,peak 6,3º,7.48,6.31,1.1700000000000008
E,peak 7,1º,8.15,6.36,1.79
E,peak 7,2º,8.47,6.41,2.0600000000000005
E,peak 7,3º,8.53,5.49,3.039999999999999
E,peak 8,1º,4.66,5.01,-0.34999999999999964
E,peak 8,2º,4.67,4.3,0.3700000000000001
E,peak 8,3º,4.82,4.57,0.25
E,peak 9,1º,1.92,1.06,0.8599999999999999
E,peak 9,2º,1.55,0.69,0.8600000000000001
E,peak 9,3º,1.83,1.19,0.6400000000000001
E,peak 10,1º,1.83,0.96,0.8700000000000001
E,peak 10,2º,1.54,0.92,0.62
E,peak 10,3º,1.79,1.25,0.54
F,peak 1,1º,1.49,1.46,0.030000000000000027
F,peak 1,2º,1.76,1.68,0.08000000000000007
F,peak 1,3º,1.62,1.51,0.1100000000000001
F,peak 2,1º,10.55,9.12,1.4300000000000015
F,peak 2,2º,11.47,10.9,0.5700000000000003
F,peak 2,3º,11.85,11.45,0.40000000000000036
F,peak 3,1º,1.37,0.88,0.4900000000000001
F,peak 3,2º,1.36,0.4,0.9600000000000001
F,peak 3,3º,1.34,1.05,0.29000000000000004
F,peak 4,1º,54.49,63.02,-8.530000000000001
F,peak 4,2º,55.72,60.12,-4.399999999999999
F,peak 4,3º,55.76,57.19,-1.4299999999999997
F,peak 5,1º,6.97,5.78,1.1899999999999995
F,peak 5,2º,6.49,5.91,0.5800000000000001
F,peak 5,3º,7.16,6.19,0.9699999999999998
F,peak 6,1º,8.15,7.24,0.9100000000000001
F,peak 6,2º,7.64,7.81,-0.16999999999999993
F,peak 6,3º,7.51,7.34,0.16999999999999993
F,peak 7,1º,8.59,6.03,2.5599999999999996
F,peak 7,2º,9.05,6.8,2.250000000000001
F,peak 7,3º,8.77,8.38,0.3899999999999988
F,peak 8,1º,4.53,4.61,-0.08000000000000007
F,peak 8,2º,4.12,4.51,-0.3899999999999997
F,peak 8,3º,4.07,4.72,-0.6499999999999995
F,peak 9,1º,1.83,1.15,0.6800000000000002
F,peak 9,2º,1.34,0.66,0.68
F,peak 9,3º,1.17,1.22,-0.050000000000000044
F,peak 10,1º,2.02,0.71,1.31
F,peak 10,2º,1.05,1.2,-0.1499999999999999
F,peak 10,3º,0.74,0.96,-0.21999999999999997
